id,pergunta,link,tags
,O que significa reunir-se ao nome do Senhor?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-reunir-se-ao-nome-do-senhor,
,O que significa dispensação?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-dispensação,
,Qual sua opinião sobre folhetos evangelísticos?,http://leituracrista.com/o-que-respondi-volume-01/#qual-sua-opinião-sobre-folhetos-evangelísticos,
,Um cristão pode dançar?,http://leituracrista.com/o-que-respondi-volume-01/#um-cristão-pode-dançar,
,Que significado tem o sábado para o cristão?,http://leituracrista.com/o-que-respondi-volume-01/#que-significado-tem-o-sábado-para-o-cristão,
,Noé realmente se embriagou?,http://leituracrista.com/o-que-respondi-volume-01/#noé-realmente-se-embriagou,
,O que significa o remendo novo e o odre novo?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-o-remendo-novo-e-o-odre-novo,
,O que significa a palavra Igreja?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-a-palavra-igreja,
,É possível ver a Deus?,http://leituracrista.com/o-que-respondi-volume-01/#é-possível-ver-a-deus,
,Como um cristão deve se vestir?,http://leituracrista.com/o-que-respondi-volume-01/#como-um-cristão-deve-se-vestir,
,Jesus tinha irmãos?,http://leituracrista.com/o-que-respondi-volume-01/#jesus-tinha-irmãos,
,A Bíblia proíbe transfusão de sangue?,http://leituracrista.com/o-que-respondi-volume-01/#a-bíblia-proíbe-transfusão-de-sangue,
,É possível congregar com desprendimento denominacional?,http://leituracrista.com/o-que-respondi-volume-01/#é-possível-congregar-com-desprendimento-denominacional,
,Deus é autor do mal?,http://leituracrista.com/o-que-respondi-volume-01/#deus-é-autor-do-mal,
,O que significa o arrebatamento?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-o-arrebatamento,
,Qual a relação de Cristo com a Lei dada a Moisés?,http://leituracrista.com/o-que-respondi-volume-01/#qual-a-relação-de-cristo-com-a-lei-dada-a-moisés,
,Qual a diferença entre crer e acreditar?,http://leituracrista.com/o-que-respondi-volume-01/#qual-a-diferença-entre-crer-e-acreditar,
,Posso perder minha salvação?,http://leituracrista.com/o-que-respondi-volume-01/#posso-perder-minha-salvação,
,A Bíblia proíbe a mulher de cortar o cabelo?,http://leituracrista.com/o-que-respondi-volume-01/#a-bíblia-proíbe-a-mulher-de-cortar-o-cabelo,
,Deus induz alguém a pecar?,http://leituracrista.com/o-que-respondi-volume-01/#deus-induz-alguém-a-pecar,
,Qual a diferença entre o batismo e o selo do Espírito?,http://leituracrista.com/o-que-respondi-volume-01/#qual-a-diferença-entre-o-batismo-e-o-selo-do-espírito,
,Afastei-me de Jesus. O que fazer?,http://leituracrista.com/o-que-respondi-volume-01/#afastei-me-de-jesus-o-que-fazer,
,"Como proceder em relação à Nova Era""?",http://leituracrista.com/o-que-respondi-volume-01/#como-proceder-em-relação-à-nova-era,
,Como enfrentar a doença e o sofrimento?,http://leituracrista.com/o-que-respondi-volume-01/#como-enfrentar-a-doença-e-o-sofrimento,
,"Por que no rádio oferecem lenços, azeite e outros objetos ungidos""?",http://leituracrista.com/o-que-respondi-volume-01/#por-que-no-rádio-oferecem-lenços-azeite-e-outros-objetos-ungidos,
,Qual a diferença entre o arrebatamento e a vinda de Cristo?,http://leituracrista.com/o-que-respondi-volume-01/#qual-a-diferença-entre-o-arrebatamento-e-a-vinda-de-cristo,
,O que significa dispensação?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-dispensação-1,
,O que acontecerá com o Espírito Santo no arrebatamento?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-acontecerá-com-o-espírito-santo-no-arrebatamento,
,Qual o caráter de Cristo como juiz?,http://leituracrista.com/o-que-respondi-volume-01/#qual-o-caráter-de-cristo-como-juiz,
,O que é o Tribunal de Cristo?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-é-o-tribunal-de-cristo,
,Onde as Américas se encaixam na profecia?,http://leituracrista.com/o-que-respondi-volume-01/#onde-as-américas-se-encaixam-na-profecia,
,"O que é o Evangelho do Reino""?",http://leituracrista.com/o-que-respondi-volume-01/#o-que-é-o-evangelho-do-reino,
,O que é o exército de 200 milhões de Apocalipse?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-é-o-exército-de-200-milhões-de-apocalipse,
,De quantas Jerusalém a Bíblia fala?,http://leituracrista.com/o-que-respondi-volume-01/#de-quantas-jerusalém-a-bíblia-fala,
,Devo guardar a Lei para ser salvo?,http://leituracrista.com/o-que-respondi-volume-01/#devo-guardar-a-lei-para-ser-salvo,
,Posso me casar com uma incrédula?,http://leituracrista.com/o-que-respondi-volume-01/#posso-me-casar-com-uma-incrédula,
,A Bíblia condena o sexo antes do casamento?,http://leituracrista.com/o-que-respondi-volume-01/#a-bíblia-condena-o-sexo-antes-do-casamento,
,Um cristão pode usar crucifixos?,http://leituracrista.com/o-que-respondi-volume-01/#um-cristão-pode-usar-crucifixos,
,O que é a Trindade?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-é-a-trindade,
,Como expulsar demônios?,http://leituracrista.com/o-que-respondi-volume-01/#como-expulsar-demônios,
,O que é uma seita?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-é-uma-seita,
,O que são as Testemunhas de Jeová?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-são-as-testemunhas-de-jeová,
,Quem deve testemunhar de Cristo?,http://leituracrista.com/o-que-respondi-volume-01/#quem-deve-testemunhar-de-cristo,
,Qual a ordem dos acontecimentos proféticos?,http://leituracrista.com/o-que-respondi-volume-01/#qual-a-ordem-dos-acontecimentos-proféticos,
,É errado deixar de congregar?,http://leituracrista.com/o-que-respondi-volume-01/#é-errado-deixar-de-congregar,
,Devemos obedecer aos pastores?,http://leituracrista.com/o-que-respondi-volume-01/#devemos-obedecer-aos-pastores,
,Qual é a hierarquia na igreja?,http://leituracrista.com/o-que-respondi-volume-01/#qual-é-a-hierarquia-na-igreja,
,Deus responde a TODAS as orações?,http://leituracrista.com/o-que-respondi-volume-01/#deus-responde-a-todas-as-orações,
,"Mateus 24:40, 41 fala do arrebatamento?",http://leituracrista.com/o-que-respondi-volume-01/#mateus-24-40-41-fala-do-arrebatamento,
,Um cristão pode tirar e ter retratos ou imagens de pessoas?,http://leituracrista.com/o-que-respondi-volume-01/#um-cristão-pode-tirar-e-ter-retratos-ou-imagens-de-pessoas,
,Satanás pode influenciar um crente?,http://leituracrista.com/o-que-respondi-volume-01/#satanás-pode-influenciar-um-crente,
,Cometer suicídio não seria uma solução?,http://leituracrista.com/o-que-respondi-volume-01/#cometer-suicídio-não-seria-uma-solução,
,Como enfrentar a morte de quem amamos?,http://leituracrista.com/o-que-respondi-volume-01/#como-enfrentar-a-morte-de-quem-amamos,
,"O que significa entregar a Satanás""?",http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-entregar-a-satanás,
,"O que significa inferno""?",http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-inferno,
,Como deve ser a saudação entre irmãos?,http://leituracrista.com/o-que-respondi-volume-01/#como-deve-ser-a-saudação-entre-irmãos,
,Como é o jejum que a Bíblia ensina?,http://leituracrista.com/o-que-respondi-volume-01/#como-é-o-jejum-que-a-bíblia-ensina,
,O que é comer indignamente na ceia?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-é-comer-indignamente-na-ceia,
,A mulher que ora sem véu ou sem cobrir a cabeça está salva?,http://leituracrista.com/o-que-respondi-volume-01/#a-mulher-que-ora-sem-véu-ou-sem-cobrir-a-cabeça-está-salva,
,"É pecado usar anéis, pulseiras e colares?",http://leituracrista.com/o-que-respondi-volume-01/#é-pecado-usar-anéis-pulseiras-e-colares,
,"O que é ser mais que vencedor""?",http://leituracrista.com/o-que-respondi-volume-01/#o-que-é-ser-mais-que-vencedor,
,O que significa o arraial de Hebreus 13?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-o-arraial-de-hebreus-13,
,Por que os animais sofrem e morrem?,http://leituracrista.com/o-que-respondi-volume-01/#por-que-os-animais-sofrem-e-morrem,
,As pessoas viviam mais no princípio?,http://leituracrista.com/o-que-respondi-volume-01/#as-pessoas-viviam-mais-no-princípio,
,O que é o Livro da Vida?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-é-o-livro-da-vida,
,É possível reconhecer quem é crente pelas roupas?,http://leituracrista.com/o-que-respondi-volume-01/#é-possível-reconhecer-quem-é-crente-pelas-roupas,
,O Dia de Cristo é o arrebatamento?,http://leituracrista.com/o-que-respondi-volume-01/#o-dia-de-cristo-é-o-arrebatamento,
,O que significa a Rosa de Sarom?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-a-rosa-de-sarom,
,Como pregar o evangelho?,http://leituracrista.com/o-que-respondi-volume-01/#como-pregar-o-evangelho,
,O mundo está realmente perdido?,http://leituracrista.com/o-que-respondi-volume-01/#o-mundo-está-realmente-perdido,
,Como foi sua conversão?,http://leituracrista.com/o-que-respondi-volume-01/#como-foi-sua-conversão,
,Como você vê a volta dos judeus a Israel?,http://leituracrista.com/o-que-respondi-volume-01/#como-você-vê-a-volta-dos-judeus-a-israel,
,O que a Bíblia diz sobre o homossexualismo e o homossexual?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-a-bíblia-diz-sobre-o-homossexualismo-e-o-homossexual,
,"O que significa cânon""?",http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-cânon,
,Um cristão não pode praticar esportes?,http://leituracrista.com/o-que-respondi-volume-01/#um-cristão-não-pode-praticar-esportes,
,O que acha da música gospel?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-acha-da-música-gospel,
,O que é novo nascimento?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-é-novo-nascimento,
,O que é revelação?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-é-revelação,
,"O que significa fogo estranho""?",http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-fogo-estranho,
,Como deve ser o clero na igreja?,http://leituracrista.com/o-que-respondi-volume-01/#como-deve-ser-o-clero-na-igreja,
,A Bíblia fala da transubstanciação?,http://leituracrista.com/o-que-respondi-volume-01/#a-bíblia-fala-da-transubstanciação,
,É Pedro a pedra à qual Jesus se refere?,http://leituracrista.com/o-que-respondi-volume-01/#é-pedro-a-pedra-à-qual-jesus-se-refere,
,O que você acha dos testemunhos?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-você-acha-dos-testemunhos,
,Epilepsia é possessão demoníaca?,http://leituracrista.com/o-que-respondi-volume-01/#epilepsia-é-possessão-demoníaca,
,Devo procurar a paz dentro de mim?,http://leituracrista.com/o-que-respondi-volume-01/#devo-procurar-a-paz-dentro-de-mim,
,Por que o cego foi expulso pelos judeus em João 9?,http://leituracrista.com/o-que-respondi-volume-01/#por-que-o-cego-foi-expulso-pelos-judeus-em-joão-9,
,O que significa galardão?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-galardão,
,Você acredita em discos voadores?,http://leituracrista.com/o-que-respondi-volume-01/#você-acredita-em-discos-voadores,
,Devemos esperar a igreja voltar ao que era no início?,http://leituracrista.com/o-que-respondi-volume-01/#devemos-esperar-a-igreja-voltar-ao-que-era-no-início,
,Qual reza ou oração pode resolver meus problemas?,http://leituracrista.com/o-que-respondi-volume-01/#qual-reza-ou-oração-pode-resolver-meus-problemas,
,O que é Teologia do Domínio?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-é-teologia-do-domínio,
,Pessoas esclarecidas creem na Bíblia?,http://leituracrista.com/o-que-respondi-volume-01/#pessoas-esclarecidas-creem-na-bíblia,
,Quem nunca ouviu o evangelho pode ser salvo?,http://leituracrista.com/o-que-respondi-volume-01/#quem-nunca-ouviu-o-evangelho-pode-ser-salvo,
,Existe livre arbítrio?,http://leituracrista.com/o-que-respondi-volume-01/#existe-livre-arbítrio,
,A Bíblia fala algo sobre eleição?,http://leituracrista.com/o-que-respondi-volume-01/#a-bíblia-fala-algo-sobre-eleição,
,Deus poderia salvar a TODOS?,http://leituracrista.com/o-que-respondi-volume-01/#deus-poderia-salvar-a-todos,
,O que é um clérigo?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-é-um-clérigo,
,Qual o significado do fermento em Mateus13:33?,http://leituracrista.com/o-que-respondi-volume-01/#qual-o-significado-do-fermento-em-mateus13-33,
,Jesus era casado com Maria Madalena?,http://leituracrista.com/o-que-respondi-volume-01/#jesus-era-casado-com-maria-madalena,
,O cristão pode fazer tatuagem?,http://leituracrista.com/o-que-respondi-volume-01/#o-cristão-pode-fazer-tatuagem,
,Satanás está no inferno?,http://leituracrista.com/o-que-respondi-volume-01/#satanás-está-no-inferno,
,Existe reencarnação?,http://leituracrista.com/o-que-respondi-volume-01/#existe-reencarnação,
,Existe vida em outros planetas?,http://leituracrista.com/o-que-respondi-volume-01/#existe-vida-em-outros-planetas,
,Por que o Senhor repreendeu os espíritos que o reconheceram?,http://leituracrista.com/o-que-respondi-volume-01/#por-que-o-senhor-repreendeu-os-espíritos-que-o-reconheceram,
,O que significa a parábola das dez virgens?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-significa-a-parábola-das-dez-virgens,
,Deus pode usar um falso cristão para pregar a Verdade?,http://leituracrista.com/o-que-respondi-volume-01/#deus-pode-usar-um-falso-cristão-para-pregar-a-verdade,
,A Bíblia tem base científica?,http://leituracrista.com/o-que-respondi-volume-01/#a-bíblia-tem-base-científica,
,"O que acha do livro Ismael — Um Romance da Condição Humana""?",http://leituracrista.com/o-que-respondi-volume-01/#o-que-acha-do-livro-ismael-um-romance-da-condição-humana,
,O que devo fazer para ser mais e mais cristão?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-devo-fazer-para-ser-mais-e-mais-cristão,
,É possível chegar à fé pela razão?,http://leituracrista.com/o-que-respondi-volume-01/#é-possível-chegar-à-fé-pela-razão,
,O que aconteceu após sua conversão?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-aconteceu-após-sua-conversão,
,Você acredita que é possível melhorar este mundo?,http://leituracrista.com/o-que-respondi-volume-01/#você-acredita-que-é-possível-melhorar-este-mundo,
,O que você acha da ideia de monges e monastérios?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-você-acha-da-ideia-de-monges-e-monastérios,
,O que é conversão?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-é-conversão,
,O evangelho será pregado em todo o mundo antes do fim?,http://leituracrista.com/o-que-respondi-volume-01/#o-evangelho-será-pregado-em-todo-o-mundo-antes-do-fim,
,O que acha de filmes sobre temas bíblicos?,http://leituracrista.com/o-que-respondi-volume-01/#o-que-acha-de-filmes-sobre-temas-bíblicos,
,Com que autoridade bíblica? Perguntas que não querem calar.,http://leituracrista.com/o-que-respondi-volume-01/#com-que-autoridade-bíblica-perguntas-que-não-querem-calar,
,A oração do Pai Nosso,http://leituracrista.com/o-que-respondi-volume-01/#a-oração-do-pai-nosso,
,Quem são a Besta e o Anticristo?,http://leituracrista.com/o-que-respondi-volume-01/#quem-são-a-besta-e-o-anticristo,
,Devemos estudar as coisas do Demônio para saber evitá-las ou combatê-las?,http://leituracrista.com/o-que-respondi-volume-01/#devemos-estudar-as-coisas-do-demônio-para-saber-evitá-las-ou-combatê-las,
,"Quando Jesus morreu na cruz, Deus morreu?",http://leituracrista.com/o-que-respondi-volume-01/#quando-jesus-morreu-na-cruz-deus-morreu,
,Devemos rezar a Ave Maria?,http://leituracrista.com/o-que-respondi-volume-01/#devemos-rezar-a-ave-maria,
,O cristão deve impor sua cultura e costumes?,http://leituracrista.com/o-que-respondi-volume-01/#o-cristão-deve-impor-sua-cultura-e-costumes,
,É possível ter fé sem pertencer a uma religião?,http://leituracrista.com/o-que-respondi-volume-01/#é-possível-ter-fé-sem-pertencer-a-uma-religião,
,É correto dizer que Deus morreu na cruz?,http://leituracrista.com/o-que-respondi-volume-01/#é-correto-dizer-que-deus-morreu-na-cruz,
,É errado cremar os mortos?,http://leituracrista.com/o-que-respondi-volume-01/#é-errado-cremar-os-mortos,
,Devemos exaltar Nossa Senhora?,http://leituracrista.com/o-que-respondi-volume-01/#devemos-exaltar-nossa-senhora,
,"Maria, cheia de graça, intercede por nós?",http://leituracrista.com/o-que-respondi-volume-01/#maria-cheia-de-graça-intercede-por-nós,
,Quais profecias já se cumpriram?,http://leituracrista.com/o-que-respondi-volume-01/#quais-profecias-já-se-cumpriram,
,A religião pode nos levar a Deus?,http://leituracrista.com/o-que-respondi-volume-01/#a-religião-pode-nos-levar-a-deus,
,Adão tinha umbigo?,http://leituracrista.com/o-que-respondi-volume-01/#adão-tinha-umbigo,
,Ajudar uma organização espírita?,http://leituracrista.com/o-que-respondi-volume-01/#ajudar-uma-organização-espírita,
,"O que acha do livro Deixados para trás""?",http://leituracrista.com/o-que-respondi-volume-01/#o-que-acha-do-livro-deixados-para-trás,
,O que acha desses pregadores de prosperidade?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-acha-desses-pregadores-de-prosperidade,
,Por que a mulher não deve ensinar?,http://leituracrista.com/o-que-respondi-volume-02/#por-que-a-mulher-não-deve-ensinar,
,Como diz que se converteu se já era espiritualista?,http://leituracrista.com/o-que-respondi-volume-02/#como-diz-que-se-converteu-se-já-era-espiritualista,
,O que acha do espiritismo?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-acha-do-espiritismo,
,Jesus era rico?,http://leituracrista.com/o-que-respondi-volume-02/#jesus-era-rico,
,Quem é o Espírito Santo?,http://leituracrista.com/o-que-respondi-volume-02/#quem-é-o-espírito-santo,
,Devemos usar a Bíblia para ferir?,http://leituracrista.com/o-que-respondi-volume-02/#devemos-usar-a-bíblia-para-ferir,
,Em que Deus você crê?,http://leituracrista.com/o-que-respondi-volume-02/#em-que-deus-você-crê,
,Marketing é uma atividade boa ou má para um cristão?,http://leituracrista.com/o-que-respondi-volume-02/#marketing-é-uma-atividade-boa-ou-má-para-um-cristão,
,Seria seu blog uma injúria a Chico Xavier?,http://leituracrista.com/o-que-respondi-volume-02/#seria-seu-blog-uma-injúria-a-chico-xavier,
,A Bíblia discrimina a mulher?,http://leituracrista.com/o-que-respondi-volume-02/#a-bíblia-discrimina-a-mulher,
,Onde está meu filho que morreu?,http://leituracrista.com/o-que-respondi-volume-02/#onde-está-meu-filho-que-morreu,
,É correto dizer que a igreja ensina?,http://leituracrista.com/o-que-respondi-volume-02/#é-correto-dizer-que-a-igreja-ensina,
,O que você pensa dos judeus?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-você-pensa-dos-judeus,
,O que acha do Evangelho de Judas?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-acha-do-evangelho-de-judas,
,Devo crer no humanismo?,http://leituracrista.com/o-que-respondi-volume-02/#devo-crer-no-humanismo,
,E quem é ateu?,http://leituracrista.com/o-que-respondi-volume-02/#e-quem-é-ateu,
,Deus pode usar nossas habilidades naturais?,http://leituracrista.com/o-que-respondi-volume-02/#deus-pode-usar-nossas-habilidades-naturais,
,O que você pensa do divórcio?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-você-pensa-do-divórcio,
,Não acha a reencarnação uma ideia mais lógica e racional?,http://leituracrista.com/o-que-respondi-volume-02/#não-acha-a-reencarnação-uma-ideia-mais-lógica-e-racional,
,A obediência aos pastores é incondicional?,http://leituracrista.com/o-que-respondi-volume-02/#a-obediência-aos-pastores-é-incondicional,
,Você é dizimista?,http://leituracrista.com/o-que-respondi-volume-02/#você-é-dizimista,
,Prosperidade: Não sou filha legítima de Deus?,http://leituracrista.com/o-que-respondi-volume-02/#prosperidade-não-sou-filha-legítima-de-deus,
,Como saber se uma igreja reconhece o senhorio de Cristo?,http://leituracrista.com/o-que-respondi-volume-02/#como-saber-se-uma-igreja-reconhece-o-senhorio-de-cristo,
,Como saber se um apóstolo é genuíno?,http://leituracrista.com/o-que-respondi-volume-02/#como-saber-se-um-apóstolo-é-genuíno,
,Quem pode ser chamado de bispo?,http://leituracrista.com/o-que-respondi-volume-02/#quem-pode-ser-chamado-de-bispo,
,Você faz palestra de espiritualidade na empresa?,http://leituracrista.com/o-que-respondi-volume-02/#você-faz-palestra-de-espiritualidade-na-empresa,
,Haverá mais de uma ressurreição?,http://leituracrista.com/o-que-respondi-volume-02/#haverá-mais-de-uma-ressurreição,
,"Onde ficará Israel, e onde ficará a Igreja no final?",http://leituracrista.com/o-que-respondi-volume-02/#onde-ficará-israel-e-onde-ficará-a-igreja-no-final,
,A que vinda de Cristo se refere Mateus 24:27?,http://leituracrista.com/o-que-respondi-volume-02/#a-que-vinda-de-cristo-se-refere-mateus-24-27,
,A escola dominical é uma reunião de assembleia ou igreja?,http://leituracrista.com/o-que-respondi-volume-02/#a-escola-dominical-é-uma-reunião-de-assembleia-ou-igreja,
,Devo dar o dízimo?,http://leituracrista.com/o-que-respondi-volume-02/#devo-dar-o-dízimo,
,Será que minha conversão foi real?,http://leituracrista.com/o-que-respondi-volume-02/#será-que-minha-conversão-foi-real,
,A condenação é mesmo eterna?,http://leituracrista.com/o-que-respondi-volume-02/#a-condenação-é-mesmo-eterna,
,Palavras como arco-íris vêm do paganismo?,"http://leituracrista.com/o-que-respondi-volume-02/#palavras-como-arco-íris-vêm-do-paganismo""",
,O que a Bíblia diz da pena de morte?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-a-bíblia-diz-da-pena-de-morte,
,Reunir-se sem denominação não é criar uma nova igreja?,http://leituracrista.com/o-que-respondi-volume-02/#reunir-se-sem-denominação-não-é-criar-uma-nova-igreja,
,Você é espiritualista ou o quê?,http://leituracrista.com/o-que-respondi-volume-02/#você-é-espiritualista-ou-o-quê,
,Um ministro é ordenado por um presbitério?,http://leituracrista.com/o-que-respondi-volume-02/#um-ministro-é-ordenado-por-um-presbitério,
,Cristo levou embora nossas enfermidades?,http://leituracrista.com/o-que-respondi-volume-02/#cristo-levou-embora-nossas-enfermidades,
,O que Deus não uniu o homem pode separar?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-deus-não-uniu-o-homem-pode-separar,
,O cristão deve se envolver em política?,http://leituracrista.com/o-que-respondi-volume-02/#o-cristão-deve-se-envolver-em-política,
,Irei para o inferno por ser homossexual?,http://leituracrista.com/o-que-respondi-volume-02/#irei-para-o-inferno-por-ser-homossexual,
,O que pensar de moribundos que dizem ver familiares que já morreram?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-pensar-de-moribundos-que-dizem-ver-familiares-que-já-morreram,
,O que você acha do livro O Segredo (The Secret)?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-você-acha-do-livro-o-segredo-the-secret,
,Por que os quatro evangelhos não coincidem?,http://leituracrista.com/o-que-respondi-volume-02/#por-que-os-quatro-evangelhos-não-coincidem,
,Como confiar num livro que contém erros grosseiros?,http://leituracrista.com/o-que-respondi-volume-02/#como-confiar-num-livro-que-contém-erros-grosseiros,
,O que significa Reino dos Céus?,http://leituracrista.com/o-que-respondi-volume-02/#o-que-significa-reino-dos-céus,
